,Word,PN
171,ありがた迷惑,-0.3
172,ありのまま,0.0
173,あるがまま,0.0
174,あわ,0.0
175,あんばい,0.0
176,いい加減,0.0
177,いい気持ち,0.3
178,いい気持ち／気分,0.3
179,いい気分,0.3
180,いかがわしさ,-0.3
181,いかさま,-0.3
182,いさかい,-0.3
183,いざこざ,-0.573411
184,いざとい,0.0
185,いじめ,-0.3
186,いじらしさ,0.3
187,いたずら,-0.3
188,いたずら電話,-0.3
189,いたちごっこ,0.0
190,いたみ,-0.3
191,いたわり,0.3
192,いっさい,0.0
193,いっぱい,0.0
194,いとしさ,0.3
195,いのち,0.3
196,いばらの道,-0.3
197,いびき,-0.3
198,いびり,-0.3
199,いぼ,-0.3
200,いやおう,0.0
201,いやらしさ,-0.3
202,いらいら,-0.3
203,いらだち,-0.3
204,いろんなの,0.0
205,いわれ,0.0
206,うかうか,-0.40199
207,うかつ,-0.3
208,うがい,0.0
209,うさ,-0.3
210,うさんくささ,-0.3
211,うずき,-0.3
212,うそ,-0.770524
213,うそっぱち,-0.3
214,うそ偽り,-0.3
215,うそ八百,-0.3
216,うたぐり,-0.3
217,うたた寝,0.0
218,うだうだ,-0.3
219,うっかり,-0.7212529999999999
220,うっちゃり,0.0
221,うってつけ,0.991204
222,うっぷん,-0.3
223,うっ血,-0.3
224,うつ,-0.3
225,うつ状態,-0.3
226,うつ病,-0.3
227,うつ伏せ,0.0
228,うなじ,0.0
229,うねり,0.0
230,うぶ,0.0
231,うまさ,0.3
232,うまみ,0.3
233,うま味,0.3
234,うらみ,-0.3
235,うらやみ,-0.3
236,うるささ,-0.3
237,うれしがらせ,0.0
238,うれしさ,0.3
239,うろ覚え,0.0
240,うわさ,0.0
241,えぐみ,-0.3
242,えびす顔,0.0
243,えんま顔,0.0
244,えん罪,-0.3
245,おいしさ,0.3
246,おいてきぼり,-0.3
247,おいてけぼり,-0.3
248,おおまか,0.0
249,おかげ,0.3
250,おかしさ,0.0
251,おかぼれ,0.3
252,おかめ,0.0
253,おけら,0.0
254,おこづかい,0.3
255,おざなり,-0.3
256,おしさ,-0.3
257,おしゃれ,0.3
258,おじけ,-0.3
259,おせっかい,-0.3
260,おそれ,-0.3
261,おぞましさ,-0.3
262,おたふく,-0.3
263,おたふく風邪,-0.3
264,おだて,0.0
265,おだぶつ,-0.3
266,おだやか,0.3
267,おちおち,-0.362384
268,おっくう,-0.3
269,おっとり,0.0
270,おっぱい,0.0
271,おでき,-0.6463260000000001
272,おなら,-0.33731500000000003
273,おねしょ,-0.3
274,おばけ,0.0
275,おぼこ,0.0
276,おまけ,0.983517
277,おまんこ,0.0
278,おみやげ,0.0
279,おむつ,0.0
280,おめでた,0.973235
281,おもしろさ,0.3
282,おもてなし,0.0
283,おもらし,-0.3
284,おろそか,-0.3
285,おカネ,0.3
286,おニュー,0.3
287,お安い御用,0.0
288,お陰,0.3
289,お陰さま,0.3
290,お陰様,0.3
291,お隠れ,-0.986558
292,お化け,-0.353949
293,お家騒動,-0.3
294,お花,0.0
295,お花畑,0.0
296,お楽しみ,0.3
297,お気持ち,0.0
298,お客,0.0
299,お客さま,0.0
300,お客様,0.3
301,お客様ご自身,0.0
302,お給料,0.3
303,お許し,0.0
304,お近付き,0.0
305,お金,0.3
306,お決まり,0.0
307,お見舞い,0.0
308,お言葉,0.0
309,お祭り気分,0.3
310,お札,0.0
311,お仕置き,-0.3
312,お使い,0.0
313,お姉ちゃん,0.0
314,お子さま,0.0
315,お持ち,0.0
316,お時間,0.0
317,お邪魔,-0.3
318,お手ごろ価格,0.3
319,お手頃価格,0.3
320,お手上げ,-0.0888293
321,お手伝い,0.0
322,お宿,0.0
323,お祝い,0.0
324,お出かけ,0.0
325,お小遣い,0.3
326,お笑い,0.3
327,お上手,0.3
328,お色気,0.3
329,お人好し,0.0
330,お人柄,0.3
331,お世辞抜き,0.0
332,お世話,0.0
333,お説教,-0.3
334,お体,0.0
335,お題目,0.0
336,お知恵,0.3
337,お定まり,0.0
338,お店,0.0
339,お電話,0.0
340,お土産,0.0
341,お湯,0.0
342,お答え,0.0
343,お得,0.3
344,お得感,0.3
345,お年玉,0.436241
346,お疲れ,-0.3
347,お付き合い,0.0
348,お布施,0.3
349,お風邪,0.0
350,お風呂場,0.0
351,お別れ会,0.0
352,お返し,0.5451699999999999
353,お返事,0.0
354,お便り,0.3
355,お墓,0.0
356,お墨付き,0.3
357,お面,0.0
358,お門違い,-0.31185300000000005
359,お役所仕事,-0.07290110000000001
360,お友達,0.0
361,お遊び,0.0
362,お預け,0.0
363,お力,0.0
364,お力添え,0.0
365,お礼,0.0
366,お話,0.0
367,お咎め,-0.3
368,お洒落,0.0560652
369,かい性,0.0
370,かかと,0.0
371,かぎり,0.0
372,かぎ裂き,-0.3
373,かげり,-0.3
374,かさ,0.0
375,かさぶた,0.0
376,かさ上げ,-0.3
377,かすり傷,-0.3
378,かぜ,-0.3
379,かた,0.0
380,かたじけなさ,0.0
381,かっこよさ,0.3
382,かっぱらい,-0.3
383,かつら,0.0
384,かなしみ,-0.3
385,かぶれ,-0.3
386,かもねぎ,0.0
387,かゆさ,-0.3
388,かゆみ,-0.3
389,かわいさ,0.3
390,かわいそう,-0.3
391,かわいらしさ,0.3
392,がけ崩れ,0.0
393,がた,-0.3
394,がた落ち,-0.98967
395,がっしり,0.0
396,がっちり,0.0
397,がまん,0.0
398,がらがら,0.0
399,がん,-0.3
400,がん細胞,-0.3
401,きずな,0.3
402,きっかけ,0.0
403,きつさ,-0.3
404,きびしさ,0.0
405,きまり,0.0
406,きめ細かさ,0.3
407,きゃしゃ,-0.3
408,きらびやか,0.3
409,きりん児,0.3
410,きれい,0.3
411,きれい事,-0.3
412,きわまり,0.0
413,ぎこちなさ,-0.3
414,ぎっくり腰,-0.465907
415,ぎりぎり,-0.162992
416,ぎんぎん,0.0
417,くしゃみ,0.0
418,くじ運,0.3
419,くせ毛,0.0
420,くそ力,0.3
421,くたくた,-0.3
422,くたびれ,-0.3
423,くたびれもうけ,-0.3
424,くだらなさ,-0.3
425,くちびる,0.0
426,くつろぎ,0.3
427,くどさ,-0.3
428,くも膜下出血,-0.3
429,くやしさ,-0.3
430,くる病,-0.3
431,ぐうたら,-0.69113
432,ぐちゃぐちゃ,-0.692583
433,ぐりぐり,0.0
434,けが,-0.3
435,けがれ,-0.3
436,けが人,-0.3
437,けだるさ,-0.3
438,けち,-0.999162
439,けったい,-0.3
440,けなげ,0.3
441,けり,0.0
442,けんか,-0.3
443,けんか腰,-0.3
444,げき,0.0
445,げた,0.0
446,げんなり,-0.757529
447,こいつら,0.0
448,こく,0.95271
449,ここ,0.0
450,ここら,0.0
451,こそ泥,-0.592334
452,こだわり,0.3
453,こちこち,-0.3
454,このまま,0.0
455,この世,0.0
456,こび,-0.3
457,こまめ,0.3
458,こらえ性,0.3
459,こわさ,-0.3
460,こんとん,-0.3
461,ごあいさつ,0.0
462,ごたごた,-0.856297
463,ごたまぜ,-0.644471
464,ごちゃまぜ,-0.3
465,ごまかし,-0.3
466,ごまのはえ,-0.3
467,ごみ,-0.895066
468,ごみ減量,0.0
469,ごろごろ,0.0
470,ご愛顧,0.0
471,ご挨拶,0.0
472,ご案内,0.0
473,ご意見ご要望,0.0
474,ご縁,0.3
475,ご家庭,0.0
476,ご活躍,0.3
477,ご感想,0.0
478,ご希望,0.0
479,ご機嫌,0.3
480,ご協力,0.0
481,ご教示,0.0
482,ご興味,0.3
483,ご苦労,-0.3
484,ご好評,0.3
485,ご講演,0.0
486,ご賛同,0.0
487,ご指示,0.0
488,ご指導,0.0
489,ご指導ご鞭撻,0.0
490,ご支援,0.0
491,ご支援ご協力,0.0
492,ご支持,0.0
493,ご主人様,0.0
494,ご祝辞,0.0
495,ご助言,0.0
496,ご紹介,0.0
497,ご心配,-0.3
498,ご尽力,0.0
499,ご声援,0.0
500,ご先祖様,0.0
501,ご提案,0.0
502,ご都合主義,-0.3
503,ご入金,0.0
504,ご配慮,0.0
505,ご病気,-0.3
506,ご不便,-0.3
507,ご返事,0.0
508,ご鞭撻,0.0
509,ご褒美,0.3
510,ご満足,0.3
511,ご迷惑,-0.3
512,ご予約,0.0
513,ご要望,0.0
514,ご利益,-0.3
515,ご了解,0.0
516,ご了承,0.0
517,ご連絡,0.0
518,さっぱり,0.793419
519,さばさば,0.989139
520,さび,-0.3
521,さびしさ,-0.3
522,さみしさ,-0.3
523,さら,0.0
524,さわやか,0.3
525,さわやかさ,0.3
526,ざらつき,-0.3
527,ざわめき,-0.3
528,しあわせ,0.3
529,しがらみ,-0.3
530,しくじり,-0.3
531,しこめ,-0.3
532,しこり,-0.3
533,したい放題,-0.3
534,したたか,-0.3
535,しっかり,0.3
536,しっぺ返し,-0.555828
537,しつこさ,-0.3
538,しとやか,0.3
539,しなやか,0.3
540,しなやかさ,0.3
541,しびれ,-0.3
542,しみ,-0.3
543,しゃがれ声,0.0
544,しゃっくり,-0.326986
545,しゃれ男,0.3
546,しゃんと,0.0
547,しょっぱさ,-0.3
548,しらふ,-0.3
549,しり押し,0.0
550,しり切れ,-0.3
551,しるし,0.0
552,しるべ,0.0
553,しわ,-0.3
554,しわ寄せ,-0.3
555,しんどさ,-0.3
556,し損ない,-0.3
557,じかん,0.0
558,じっくり,0.0
559,じゅもん,0.0
560,じり高,-0.3
561,じり貧,-0.3
562,すうっと,0.0
563,すかっと,0.983246
564,すかんぴん,-0.3
565,すきだらけ,-0.3
566,すきっと,0.3
567,すさまじさ,0.0
568,すっきり,0.967757
569,すったもんだ,-0.3
570,すってんてん,-0.0502084
571,すっと,0.33675900000000003
572,すっぽかし,-0.3
573,すてき,0.3
574,すばやさ,0.3
575,すばらしさ,0.3
576,すみれ,0.0
577,すり,-0.3
578,ずぶ濡れ,-0.665728
579,ずぼら,-0.990287
580,ずる,-0.996942
581,ずれ,0.0
582,せかせか,-0.5053949999999999
583,せき,-0.3
584,せき払い,-0.3
585,せせら笑い,-0.3
586,せつなさ,-0.3
587,せり,0.0
588,せり上げ,0.0
589,ぜんそく,-0.3
590,ぜん息,-0.3
591,そいつ,0.0
592,そいつら,0.0
593,そういうの,0.0
594,そしり,-0.3
595,そそくさ,0.0
596,そっと,0.0
597,そつ,0.0
598,そねみ,-0.3
599,その間,0.0
600,その場しのぎ,-0.3
601,その場逃れ,-0.3
602,その他,0.0
603,その道,0.0
604,そり,0.0
605,そり味,0.0
606,それきり,-0.3
607,それきり・それっきり,-0.3
608,それっきり,-0.3
609,それなり,0.18989
610,ぞうり,0.0
611,たおやか,0.3
612,たくさん,0.0
613,たくましさ,0.3
614,たしなみ,0.3
615,たたずまい,0.3
616,ただれ,-0.3
617,ただれ目,-0.3
618,ただ事,0.0
619,ただ者,0.0
620,たっぷり,0.979449
621,たね,0.0
622,ため,0.3
623,ためらい傷,-0.3
624,ため息,-0.3
625,たらい回し,-0.3
626,たるみ,-0.3
627,たわし,0.0
628,だみ声,-0.3
629,だらしなさ,-0.3
630,だらだら,-0.991215
631,だらっと,-0.3
632,だらりと,-0.3
633,だらんと,-0.3
634,だるさ,-0.3
635,だれ気味,-0.200523
636,ちゃめっ気,0.3
637,ちゃらんぽらん,-0.186059
638,ちょい役,-0.3
639,ちょっかい,-0.507571
640,ちょんぼ,-0.996503
641,つき,0.0
642,つぐみ,0.0
643,つじ強盗,-0.3
644,つっけんどん,-0.3
645,つつましやか,0.3
646,つながり,0.3
647,つばさ,0.0
648,つまずき,-0.3
649,つまらなさ,-0.3
650,つまり,0.0
651,つもり,0.0
652,つや,0.3
653,つらさ,-0.3
654,つわもの,0.3
655,つわり,-0.3
656,ていねい,0.3
657,てんかん,-0.3
658,てんこ盛り,0.32000100000000004
659,てんやわんや,-0.561244
660,できもの,-0.3
661,でこぼこ,-0.3
662,でたらめ,-0.3
663,でっち上げ,-0.3
664,でんぷん,0.0
665,というわけ,0.0
666,とがめ,-0.3
667,とがめ立て,0.0
668,とがり声,-0.3
669,ときめき,0.3
670,とどめ,-0.3
671,とばっちり,-0.478743
672,とまどい,-0.3
673,ともえ投げ,0.0
674,どきどき,0.0
675,どぎまぎ,-0.368455
676,どさくさ,-0.4480810000000001
677,どたキャン,-0.3
678,どら声,-0.188608
679,どんぐり,0.0
680,どんでん返し,-0.505358
681,どん底,-0.26105100000000003
682,ど根性,0.3
683,なくて七癖,0.0
684,なぞ,0.0
685,なだらか,0.3
686,なつかしさ,0.3
687,なぶり殺し,-0.3
688,なまくら,-0.990388
689,なまず,0.0
690,なめらか,0.3
691,なめらかさ,0.3
692,ならず者,-0.992431
693,におい,0.0
694,にきび,-0.3
695,にぎやか,0.3
696,にぎわい,0.3
697,にこにこ顔,0.3
698,ぬかるみ,-0.575435
699,ぬか喜び,-0.3
700,ぬくもり,0.3
701,ぬめり,-0.3
702,ぬるさ,0.0
703,ねぎらい,0.3
704,ねじれ,0.0
705,ねたましさ,-0.3
706,ねたみ,-0.3
707,ねんね,0.0
708,のぞみ,0.3
709,のど自慢,0.0
710,のど輪,0.0
711,ののしり,-0.3
712,のみの心臓,-0.3
713,のらくら,-0.613286
714,のろし,0.0
715,のんべんだらり,-0.3
716,はげ,0.0
717,はしか,-0.3
718,はずみ,-0.3
719,はたき込み,0.0
720,はたけ,0.0
721,はたらき,0.3
722,はた迷惑,-0.3
723,はちゃめちゃ,-0.3
724,はっきり,0.0
725,はつらつ,0.3
726,はにかみ,0.0
727,はまり役,0.3
728,はやり風邪,-0.3
729,はやり目,-0.3
730,はらはら,-0.693136
731,はれ,0.0
732,はれ物,-0.3
733,ばい菌,-0.3
734,ばか,-0.3
735,ばかばかしさ,-0.3
736,ばか笑い,0.0
737,ばか力,0.3
738,ばつ,-0.991186
739,ばらつき,-0.3
740,ばらばら,0.0
741,ひがみ,-0.3
742,ひき逃げ,-0.3
743,ひさし,0.0
744,ひさしぶり,0.3
745,ひじ,0.0
746,ひじり,0.0
747,ひったくり,-0.3
748,ひととき,0.0
749,ひとりよがり,-0.3
750,ひとり相撲,-0.3
751,ひとり立ち,0.3
752,ひと月,0.0
753,ひと事,-0.3
754,ひと時,0.0
755,ひどさ,-0.3
756,ひび割れ,-0.3
757,ひま,0.0
758,ひもじさ,-0.3
759,ひょう疽,-0.333893
760,ひょっとこ,-0.991609
761,ひ弱,-0.3
762,びくびく,-0.995632
763,びんた,-0.376762
764,ぴか一,0.989386
765,ふがいなさ,-0.3
766,ふくよか,0.3
767,ふさぎの虫,-0.3
768,ふしだら,-0.987485
769,ふたり,0.0
770,ふち,0.0
771,ふるさと,0.0
772,ふん,-0.3
773,ぶおとこ,-0.3
774,ぶおんな,-0.3
775,ぶきっちょ,-0.994153
776,ぶす,-0.646523
777,ぶっきらぼう,-0.444192
778,ぶらぶら,0.0
779,ぶり返し,0.0
780,へそ,0.0
781,へったくれ,-0.974465
782,へっぽこ,-0.5992460000000001
783,へなちょこ,-0.3
784,へのかっぱ,0.0
785,へぼ,-0.993367
786,へま,-0.714558
787,へんちくりん,-0.3
788,へんてこ,-0.3
789,へんとう炎,-0.3
790,べたぼれ,0.3
791,べた褒め,0.3
792,べっぴん,0.3
793,ぺしゃんこ,-0.3
794,ほお笑み,0.0
795,ほか,0.0
796,ほくほく顔,0.3
797,ほこり,-0.3
798,ほころび,-0.3
799,ほっぺた,0.0
800,ほとぼり,-0.400812
801,ほとんど,0.0
802,ほの字,0.3
803,ほほ笑み,0.3
804,ほら貝,0.0
805,ほり,0.0
806,ほろ酔い気分,0.3
807,ほんま,0.0
808,ぼくたち,0.0
809,ぼけ,-0.3
810,ぽか,-0.996947
811,まくら探し,0.0
812,まぐれ,0.0
813,まごころ,0.3
814,まじめ,0.968114
815,まじり,-0.3
816,まずさ,-0.3
817,まぜこぜ,0.0
818,まちがい,-0.3
819,まちづくり,0.0
820,まっさら,0.3
821,まとも,0.979363
822,まどらか,0.3
823,まどろみ,0.3
824,まね,0.0
825,まめ,0.591853
826,まやかし,-0.754548
827,まゆつば物,-0.3
828,まるまる,0.0
829,まれ,0.0
830,まろやか,0.3
831,まんざら,0.0
832,まんま,0.0
833,まん延,-0.3
834,みずから,0.0
835,みずみずしさ,0.3
836,みみずばれ,-0.3
837,むくみ,-0.3
838,むし歯,-0.3
839,むずかしさ,-0.3
840,むだ,-0.3
841,むちゃくちゃ,-0.3
842,むち打ち,-0.3
843,むなしさ,-0.3
844,むやみ,-0.3
845,むやみやたら,-0.3
846,めぐり,0.0
847,めし,0.0
848,めちゃ,-0.3
849,めちゃくちゃ,-0.3
850,めちゃめちゃ,-0.3
851,めったやたら,-0.3
852,めった打ち,0.0
853,めでたさ,0.3
854,めど,0.0
855,めまい,-0.3
856,めんどう,-0.3
857,もうけ口,0.3
858,もうけ仕事,0.3
859,もうろく,-0.3
860,もだえ,-0.3
861,もちつき,0.0
862,もてなし,0.0
863,もどかしさ,-0.3
864,ものぐさ,-0.3
865,ものづくり,0.0
866,もの悲しさ,-0.3
867,もみ,0.0
868,もめ事,-0.3
869,もやもや,-0.493757
870,もろさ,-0.3
871,もろ差し,0.0
872,やくざ,-0.7062229999999999
873,やけ,-0.3
874,やけくそ,-0.3
875,やけっぱち,-0.3
876,やけっ腹,-0.3
877,やけど,-0.3
878,やさしさ,0.3
879,やたけ心,0.0
880,やたら,0.0
881,やっつけ仕事,-0.345964
882,やつら,0.0
883,やぶ蛇,-0.3
884,やみくも,0.0
885,やりかた,0.0
886,やりがい,0.3
887,やりきれなさ,-0.3
888,やりたい放題,-0.3
889,やり過ぎ,-0.3
890,やり直し,0.0
891,やるせなさ,-0.3
892,やる気,0.3
893,やわらかさ,0.3
894,やんちゃ,0.0
895,ゆがみ,-0.3
896,ゆとり,0.118583
897,ゆるやか,0.0
898,よがり声,0.0
899,よくよく,0.0
900,よこしま,-0.99317
901,よさ,0.3
902,よしみ,0.0
903,よそ事,-0.3
904,よそ者,-0.3
905,よどみ,-0.3
906,よりどころ,0.0
907,よろめき,0.0
908,らい,-0.3
909,らしさ,0.3
910,ろくすっぽ,-0.3
911,ろくろく,-0.3
912,わいせつ行為,-0.3
913,わかりやすさ,0.3
914,わがまま,-0.3
915,わき,0.0
916,わき腹,0.0
917,わき役,-0.3
918,わざ,0.3
919,わずらわしさ,-0.3
920,わだかまり,-0.3
921,わび,0.3
922,わびしさ,0.0
923,わらじ銭,0.0
924,アーカイブ,0.0
925,アーチ,0.0
926,アーチスト,0.0
927,アーチスト・アーティスト,0.0
928,アーティスト,0.0
929,アイス,0.0
930,アイスホッケー,0.0
931,アイデア,0.406469
932,アイディア,0.3
933,アイデンティティ,0.3
934,アイデンティティー,0.294543
935,アイドリングストップ,0.0
936,アイマスク,0.0
937,アイルランド,0.0
938,アウト,-0.7011109999999999
939,アウトコース,0.0
940,アウトドア,0.0
941,アウトライン,0.0
942,アオコ,-0.3
943,アオリ,-0.3
944,アカ,-0.3
945,アクシデント,-0.994661
946,アクセスログ,0.0
947,アクセス数,0.0
948,アクセス制御機能,0.3
949,アクティブ,0.3
950,アジ,0.0
951,アセトアルデヒド,0.0
952,アソコ,0.0
953,アタシ,0.0
954,アタック,0.0
955,アタリ,0.0
956,アットホーム,0.3
957,アッパーカット,0.0
958,アップ,0.0
959,アップグレード,0.3
960,アップダウン,0.0
961,アデノイド,-0.993856
962,アトピー,-0.3
963,アトピー性皮膚炎,-0.3
964,アド,0.0
965,アドバイザー,0.0
966,アドバイス,0.0
967,アドレナリン,0.0
968,アナクロ,-0.3
969,アバウト,-0.0199172
970,アパルトヘイト,-0.3
971,アピール,0.0
972,アフガニスタン,0.0
973,アフガン,0.0
974,アフガン戦争,-0.3
975,アフターケア,0.0
976,アフターサービス,0.3
977,アブノーマル,-0.3
978,アホ,-0.3
979,アマ,0.0
980,アマゾン,0.0
981,アマチュア,0.0
982,アミューズメント,0.3
983,アミロイド,0.0
984,アメリカ,0.0
985,アユ,0.0
986,アラート,0.0
987,アラーム,0.0
988,アラーム音,0.0
989,アラビア,0.0
990,アリバイ,0.0
991,アルコール依存症,-0.3
992,アルコール中毒,-0.30277600000000005
993,アルコール問題,0.0
994,アルジェリア,0.0
995,アルゼンチン,0.0
996,アルツハイマー,-0.3
997,アルツハイマー病,-0.3
998,アル中,-0.3
999,アレルギー,-0.4402180000000001
1000,アレルギー疾患,-0.3
1001,アレルギー性疾患,-0.3
1002,アレルギー性鼻炎,-0.3
1003,アレルギー体質,-0.3
1004,アレルゲン,-0.3
1005,アンダースロー,0.0
1006,アンチ,0.0
1007,アンチテーゼ,0.0
1008,アンティーク,0.45141
1009,アンノウン,0.0
1010,アンバランス,-0.000990792
1011,アンフェア,-0.3
1012,イージー,0.0
1013,イージーミス,-0.3
1014,イエスキリスト,0.0
1015,イエローカード,-0.3
1016,イカサマ,-0.3
1017,イギリス,0.0
1018,イジメ,-0.3
1019,イスパニア,0.0
1020,イスラエル,0.0
1021,イタズラ,-0.3
1022,イタリア,0.0
1023,イナダ,0.0
1024,イノシシ,0.0
1025,イビキ,-0.3
1026,イベント,0.0
1027,イボ,-0.3
1028,イマイチ,-0.3
1029,イマジネーション,0.3
1030,イメージ,0.0
1031,イメージアップ,0.3
1032,イメージダウン,-0.3
1033,イヤ,-0.3
1034,イラク,0.0
1035,イラク攻撃,-0.3
1036,イラク侵攻,-0.3
1037,イラク戦争,-0.3
1038,イラン,0.0
1039,インカ帝国,0.0
1040,インコース,0.0
1041,インストラクター,0.0
1042,インスピレーション,0.0781218
1043,インスリン分泌,0.0
1044,インセンティブ,0.3
1045,インターネットオークション,0.0
1046,インターネットサービス,0.0
1047,インターフォン,0.0
1048,インチキ,-0.3
1049,インテリ,-0.990874
1050,インテリア,0.0
1051,インテリジェンス,0.266872
1052,インド,0.0
1053,インドネシア,0.0
1054,インド映画,0.0
1055,インパクト,0.940077
1056,インパルス,0.0
1057,インフォームド・コンセント,0.3
1058,インフォームドコンセント,0.3
1059,インフォメーション,0.0
1060,インフラ,0.0
1061,インフルエンザ,-0.560735
1062,インフルエンザウイルス,-0.3
1063,インフレ,-0.0357297
1064,インフレ期待,0.0
1065,インポ,-0.3
1066,インポテンツ,-0.281438
1067,イヴ,0.0
1068,ウィークポイント,-0.3
1069,ウィルス,-0.3
1070,ウィルスメール,-0.3
1071,ウイークポイント,-0.3
1072,ウイグル,0.0
1073,ウイット,0.985897
1074,ウイルス,-0.837093
1075,ウイルスメール,-0.3
1076,ウイルス感染,-0.3
1077,ウイルス対策,0.0
1078,ウイルス病,-0.3
1079,ウェールズ,0.0
1080,ウェブログ,0.0
1081,ウエイト,0.0
1082,ウエストボール,0.0
1083,ウォーミングアップ,0.0
1084,ウソ,-0.3
1085,ウツ,-0.3
1086,ウデ,0.3
1087,ウナギ,0.0
1088,ウルトラＣ,0.3
1089,ウワサ,-0.3
1090,ウンチ,0.0
1091,エール,0.980959
1092,エア,0.0
1093,エイズ,-0.3
1094,エイリアン,0.0
1095,エキストラ,0.0
1096,エキスパート,0.979468
1097,エクスタシー,0.0
1098,エコー,0.0
1099,エコロジー,0.0
1100,エゴ,-0.389608
1101,エゴイズム,-0.210874
1102,エサ取り,0.0
1103,エジプト,0.0
1104,エチュード,0.0
1105,エッジ,0.0
1106,エディタ,0.0
1107,エネルギー,0.920921
1108,エネルギー不足,-0.3
1109,エネルギッシュ,0.3
1110,エマージェンシー,-0.3
1111,エラー,-0.996944
1112,エラーメッセージ,-0.3
1113,エラーログ,-0.3
1114,エリート,0.987202
1115,エリート意識,-0.3
1116,エルボー,-0.3
1117,エルボースマッシュ,0.0
1118,エレガンス,0.3
